date,year,type,country,state,activity,sex,age,injury,species,source
2022-06-30,2022,Unprovoked,Usa,Florida,Other,F,17,Severe bites to leg,Other,"A. Currie, GSAF"
2022-06-29,2022,Unprovoked,Usa,Florida,Swimming activities/sports,F,35,Laceration to leg,Other,Miami Herald/ 7/12022
2022-06-29,2022,Unprovoked,Usa,Florida,Playing or floating in the water,M,,Laceration to leg,Other,"CBS Miami, 7/1/2022"
2022-06-28,2022,Unprovoked,South Africa,Western Cape Province,Swimming activities/sports,M,,FATAL,Other,"M. Michaelson, GSAF"
2022-06-24,2022,Unprovoked,Jamaica,,Other,M,,Right arm severed,Tiger Shark,"The Gleaner, 6/30/2022"
2022-06-23,2022,Unprovoked,Usa,Florida,Other,F,,Leg bitten,Other,"A. Currie & R. Babington, GSAF"
2022-06-22,2022,Unprovoked,Usa,California,Swimming activities/sports,M,62,Stomach and leg injuries including a broken femur,White Shark,"M. Michaelson, and R. Collier,  GSAF"
2022-06-21,2022,Unprovoked,Usa,South Carolina,Other,M,teen,,Other,"C. Creswll, GSAF"
2022-06-01,2022,Unprovoked,Australia,Western Australia,Swimming activities/sports,F,,Minor injury,Other,"Perth Now, 6//2/2022"
2022-05-27,2022,Unprovoked,Australia,Western Australia,Board activities/sports,,,Knocked off board by a  shark.   No injury,Bronze Shark,"Perth Now, 5/27/2022"
2022-05-20,2022,Unprovoked,Australia,Western Australia,Swimming activities/sports,M,20,No Injury,Bull Shark,9News. 5/30/2022
2022-05-19,2022,Provoked,Belize,Ambergris Cay,Other,M,,Right hand and forearm bitten PROVOKED INCIDENT,Other,"San Pedro Sun, 5/20/"
2022-05-10,2022,Unprovoked,Maldives,,Other,M,62,Right cakf bitten when he fell overboard,Other,"Maldives National Defence Force, 5/10/2022"
2022-05-07,2022,Unprovoked,French Polynesia,Bora Bora,Other,,,Hand bitten,Other,"Franceinfo, 5/10/202232/2021"
2022-05-03,2022,Provoked,Usa,Georgia,Other,M,,Thumb bitten by hooked shark PROVOKED INCIDENT,Black Shark,"J. Marchand, GSAF"
2022-05-01,2022,Unprovoked,Thailand,Phuket,Playing or floating in the water,M,8,Laceration to left calf,Other,"Bangkok Post, 5/01/2022"
2022-04-30,2022,Unprovoked,French Polynesia,Tahiti,Other,M,22,Cut to knee,Tiger Shark,"J. Marchand, GSAF"
2022-04-27,2022,Unprovoked,Australia,,Board activities/sports,M,32,"No injury, knocked off board by shark chasing a turtle",Other,"Daily Star, 4/28/2022"
2022-04-17,2022,Unprovoked,Usa,Florida,Other, M,56,Laceration to lower leg,Other,"Miami Herald, 4/18/2022"
2022-04-12,2022,Unprovoked,Usa,Alabama,Swimming activities/sports,M,17,Bite to right foot,Other,"Local12, 4/15/2022"
2022-04-11,2022,Unprovoked,Usa,Florida,Playing or floating in the water,M,Teen,Bite near big toe,Other,"Miami Herald, 4/11/2022"
2022-04-09,2022,Provoked,Usa,New Jersey,Fishing activities,F,12,Finger nipped by captive shark PROVOKED INCIDENT,Other,"Rsl Media, 4/11/2022"
2022-04-07,2022,Unprovoked,Usa,Florida,Board activities/sports,M,,No injury to occupants. Kayak bitten,Other,"R. Babington, GSAF & K. McMurray, TrackingSharks.com"
2022-04-01,2022,,South Africa,KZN,Other,M,,Possible drowing and scavenging,Other,"Daily Star, 4/4/2022"
2022-03-31,2022,Provoked,Usa,Florida,Other,M,50s,Knee bitten                    PROVOKED INCIDENT,Other,"K. McMurray, TrackingSharks.com"
2022-03-18,2022,Unprovoked,Columbia,Isla De San Andres,Swimming activities/sports,M,56,FATAL,Tiger Shark,"R. Babington & S. Fe Marchi, GSAF &;  K McMurray"
2022-03-15,2022,Unprovoked,New Zealand,South Island,Board activities/sports,M,,"No injury, shark leapt on surfboard",Other,"Otago Daily Times, 3/18/20229/2022"
